date,symptom,n
2019-01-09,s28,346
2019-01-09,s29,1061
2019-01-09,s30,625
2019-01-09,s31,0
2019-01-09,s32,0
2019-01-09,s33,0
2019-01-09,s34,0
2019-01-09,s35,0
2019-01-09,s36,143
2019-01-09,s37,31
2019-01-09,s38,0
2019-01-09,s39,5
2019-01-09,s40,0
2019-01-09,s41,0
2019-01-09,s42,42
2019-01-09,s43,6
2019-01-09,s44,0
2019-01-09,s45,9
2019-01-09,s46,0
2019-01-09,s47,0
2019-01-09,s48,0
2019-01-09,s49,256
2019-01-09,s50,2
2019-01-09,s51,0
2019-01-09,s52,0
2019-01-09,s53,0
2019-01-09,s54,0
2019-01-09,s55,324
2019-01-09,s56,333
2019-01-10,s01,0
2019-01-10,s02,0
2019-01-10,s03,1
2019-01-10,s04,0
2019-01-10,s05,36
2019-01-10,s06,908
2019-01-10,s07,19
2019-01-10,s08,0
2019-01-10,s10,1
2019-01-10,s11,998
2019-01-10,s12,7
2019-01-10,s13,0
2019-01-10,s14,150
2019-01-10,s15,1
2019-01-10,s16,0
2019-01-10,s17,1
2019-01-10,s19,0
2019-01-10,s20,9
2019-01-10,s21,4586
2019-01-10,s22,367
2019-01-10,s23,423
2019-01-10,s24,272
2019-01-10,s25,0
2019-01-10,s26,0
2019-01-10,s27,0
2019-01-10,s28,334
2019-01-10,s29,994
2019-01-10,s30,720
2019-01-10,s31,0
2019-01-10,s32,0
2019-01-10,s33,1
2019-01-10,s34,0
2019-01-10,s35,0
2019-01-10,s36,149
2019-01-10,s37,20
2019-01-10,s38,1
2019-01-10,s39,5
2019-01-10,s40,0
2019-01-10,s41,0
2019-01-10,s42,55
2019-01-10,s43,4
2019-01-10,s44,0
2019-01-10,s45,12
2019-01-10,s46,0
2019-01-10,s47,0
2019-01-10,s48,0
2019-01-10,s49,277
2019-01-10,s50,0
2019-01-10,s51,0
2019-01-10,s52,0
2019-01-10,s53,0
2019-01-10,s54,0
2019-01-10,s55,291
2019-01-10,s56,373
2019-01-11,s01,0
2019-01-11,s02,0
2019-01-11,s03,1
2019-01-11,s04,0
2019-01-11,s05,31
2019-01-11,s06,874
2019-01-11,s07,8
2019-01-11,s08,0
2019-01-11,s10,0
2019-01-11,s11,880
2019-01-11,s12,8
2019-01-11,s13,0
2019-01-11,s14,168
2019-01-11,s15,0
2019-01-11,s16,0
2019-01-11,s17,3
2019-01-11,s19,0
2019-01-11,s20,8
2019-01-11,s21,4274
2019-01-11,s22,310
2019-01-11,s23,322
